# Program:featureCounts v2.0.0; Command:"featureCounts" "./bam/PmCranial_R1_kpetMar1.bam" "./bam/PmCranial_R2_kpetMar1.bam" "./bam/PmTrunk_R1_kpetMar1.bam" "./bam/PmTrunk_R2_kpetMar1.bam" "-T" "8" "-t" "exon" "-s" "0" "-g" "gene_id" "-F" "GTF" "-a" "/data/Megan/Lamprey_CT/kPetMar1_ht2/pmz.genes-fixed.gtf" "-o" "kpetMar1.featurecounts.txt" 
Geneid	Chr	Start	End	Strand	Length	./bam/PmCranial_R1_kpetMar1.bam	./bam/PmCranial_R2_kpetMar1.bam	./bam/PmTrunk_R1_kpetMar1.bam	./bam/PmTrunk_R2_kpetMar1.bam
PMZ_0050000	chr1	1995	2555	+	561	0	0	0	0
PMZ_0045084	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	10077;13784;15853;16447;18192;18725;19631;21176;21654;22324;23938;38232;53391;54018;54577;55267;57631;58460	10246;13849;15957;16618;18311;18916;19780;21265;21749;22405;23972;38324;53453;54053;54724;55475;57740;58829	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2307	190	251	557	776
PMZ_0045085	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	67569;70682;71040;72073;75444;76832;77363;78220;78580;79342;81599	68000;70815;71696;72136;75494;76924;77494;78318;78665;79431;81810	-;-;-;-;-;-;-;-;-;-;-	2050	92	0	68	108
PMZ_0050001	chr1;chr1;chr1;chr1	111615;114078;115385;116234	111627;114313;115768;116842	-;-;-;-	1242	0	0	81	49
PMZ_0048197	chr1;chr1	136366;140697	136512;140765	+;+	216	0	0	0	0
PMZ_0050002	chr1;chr1;chr1;chr1;chr1	146269;146540;146905;147599;148128	146363;146773;147099;147676;148140	+;+;+;+;+	615	0	0	0	0
PMZ_0050003	chr1;chr1;chr1;chr1	215696;216344;217080;217437	215824;216554;217274;217561	+;+;+;+	660	0	0	0	0
PMZ_0050004	chr1;chr1;chr1	309290;313970;317891	309321;314102;318022	+;+;+	297	25	0	0	0
PMZ_0050005	chr1;chr1;chr1;chr1;chr1;chr1;chr1	332536;334055;334710;335491;336258;336764;339861	332590;334256;334919;335683;336398;336876;339927	+;+;+;+;+;+;+	981	0	0	0	0
PMZ_0050006	chr1;chr1;chr1;chr1;chr1	355238;363025;363464;363926;365358	355385;363118;363808;364062;366830	+;+;+;+;+	2197	0	0	0	0
PMZ_0050007	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	370455;371044;371675;372241;373142;373617;377624;378776;385689;388506;390898	370584;371120;371815;372430;373351;373821;377702;378914;385852;388640;391047	-;-;-;-;-;-;-;-;-;-;-	1620	0	0	5	51
PMZ_0050008	chr1;chr1;chr1	444632;452899;457991	444844;453091;458004	+;+;+	420	0	0	107	210
