PMGeneID	GalgalGeneID	GeneName	QueryLength	NumberOfMatches	AlignmentScore	Strand	GalgalProteinID
PMZ_0047584	ENSGALG00000009012	ZNF385B	48	32	66.66666667	+	ENSGALP00000038010
PMZ_0038666	ENSGALG00000028148	PHF13	52	41	78.84615385	+	ENSGALP00000041130
PMZ_0043931	ENSGALG00000009957	TIE1	144	131	90.97222222	+	ENSGALP00000016165
PMZ_0002252	ENSGALG00000015450	RAB2A	141	137	97.16312057	+	ENSGALP00000024868
PMZ_0000947	ENSGALG00000006322		63	39	61.9047619	+	ENSGALP00000010208
PMZ_0042426	ENSGALG00000015013	MSX1	29	28	96.55172414	+	ENSGALP00000024163
PMZ_0032523	ENSGALG00000002868	RPL26	137	118	86.13138686	+	ENSGALP00000004515
PMZ_0042428	ENSGALG00000000390	ENTPD4	144	123	85.41666667	+	ENSGALP00000000530
PMZ_0042429	ENSGALG00000007479	SLC25A28	59	41	69.49152542	+	ENSGALP00000012074
PMZ_0042430	ENSGALG00000014931	RAB28	43	31	72.09302326	+	ENSGALP00000024037
PMZ_0048969	ENSGALG00000031859	NKX3-2	63	61	96.82539683	+	ENSGALP00000053034
PMZ_0026195	ENSGALG00000010967		1091	919	84.23464711	+	ENSGALP00000017831
PMZ_0038136	ENSGALG00000030932	NKX2-3	93	88	94.62365591	+	ENSGALP00000048445
PMZ_0042434	ENSGALG00000037714		44	30	68.18181818	+	ENSGALP00000054587
PMZ_0020390	ENSGALG00000007697	MGEA5	263	217	82.5095057	+	ENSGALP00000012459
PMZ_0041570	ENSGALG00000037487	WBP1	35	28	80	+	ENSGALP00000045675
PMZ_0040748	ENSGALG00000008121	CYP17A1	167	129	77.24550898	+	ENSGALP00000032532
PMZ_0022635	ENSGALG00000033232	LMAN2	243	186	76.54320988	+	ENSGALP00000057154
PMZ_0043211	ENSGALG00000008133	AS3MT	47	35	74.46808511	+	ENSGALP00000013184
PMZ_0029837	ENSGALG00000008096	SUFU	53	33	62.26415094	+	ENSGALP00000013127
PMZ_0029839	ENSGALG00000016003	DDRGK1	48	33	68.75	+	ENSGALP00000025738
PMZ_0042436	ENSGALG00000003142		62	37	59.67741935	+	ENSGALP00000004956
PMZ_0034154	ENSGALG00000043428	FBXW4	48	38	79.16666667	+	ENSGALP00000051948
PMZ_0029068	ENSGALG00000007706	FGF8	56	45	80.35714286	+	ENSGALP00000032574
PMZ_0030451	ENSGALG00000007803		346	252	72.83236994	+	ENSGALP00000012644
PMZ_0030452	ENSGALG00000007539	ANKRD2	35	22	62.85714286	+	ENSGALP00000012178
PMZ_0030453	ENSGALG00000037395	UBTD2	135	117	86.66666667	+	ENSGALP00000048079
PMZ_0042433	ENSGALG00000008700	PDCD4	106	76	71.69811321	+	ENSGALP00000014143
PMZ_0030457	ENSGALG00000002191	TLX3	142	130	91.54929577	+	ENSGALP00000003422
PMZ_0035778	ENSGALG00000038054	FAM175B	63	44	69.84126984	+	ENSGALP00000044895
PMZ_0041492	ENSGALG00000032545		172	153	88.95348837	+	ENSGALP00000057070
PMZ_0034825	ENSGALG00000010493	INPP5A	100	81	81	+	ENSGALP00000017068
